Frequency,CustGender,CustAccountBalance,TransactionAmount (INR),CustAge,Recency,Label
1,F,50720.7,505.0,31.0,1,2
1,F,42387.74,681.98,33.0,1,2
1,F,4348.02,1333.0,35.0,1,2
1,F,651.39,70.0,28.0,1,2
1,F,53788.83,50.0,35.0,1,2
1,F,2000.42,1171.0,20.0,1,2
1,F,17072.15,20.0,30.0,1,2
1,F,4761.28,185.0,33.0,1,2
1,F,11387.97,110.0,31.0,1,2
1,F,14938.26,900.0,34.0,1,2
1,F,12239.6,21.0,36.0,1,2
1,F,1800.33,60.0,37.0,1,2
1,F,12340.96,422.82,35.0,1,2
1,F,17265.6,462.0,28.0,1,2
1,F,357724.53,60.0,36.0,1,2
1,F,38368.2,82.24,34.0,1,2
1,F,9801.14,2051.0,33.0,1,2
1,F,17215.98,2096.0,30.0,1,2
1,F,460771.69,3500.0,39.0,1,2
1,F,26746.44,680.0,33.0,1,2
1,F,34084.05,3080.0,44.0,1,2
1,F,9.68,245.0,31.0,1,2
1,F,3015.27,6999.0,29.0,1,2
1,F,146.6,435.32,53.0,1,2
1,F,8725.5,1299.0,40.0,1,2
1,F,20494.87,200.0,42.0,1,2
1,F,11690.33,100.0,30.0,1,2
1,F,1686.67,100.0,39.0,1,2
1,F,11777.4,20.0,31.0,1,2
1,F,15325.14,959.04,30.0,1,2
1,F,106182.74,459.0,31.0,1,2
1,F,65491.61,301.0,32.0,1,2
1,F,26088.77,100.0,35.0,1,2
1,F,7008.85,1317.5,33.0,1,2
1,F,33477.47,2325.0,34.0,1,2
1,F,49173.7,500.0,42.0,1,2
1,F,6915.51,200.0,31.0,1,2
1,F,2934.96,2007.0,32.0,1,2
1,F,609.98,1559.86,42.0,1,2
1,F,10053.89,70.0,28.0,1,2
1,F,25534.28,235.0,30.0,1,2
1,F,38528.54,1550.1,35.0,1,2
1,F,292143.52,985.0,45.0,1,2
1,F,9250.74,267.2,33.0,1,2
1,F,11084.91,195.0,32.0,1,2
1,F,39226.37,2287.0,31.0,1,2
1,F,275316.16,552.0,30.0,1,2
1,F,591.41,170.0,31.0,1,2
